# Gene Family	14286	14287	14288	14289	14290	14291	14292	14293	14294	14295
Biofilm formation - Pseudomonas aeruginosa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Phenylalanine metabolism	0	0	15.7642964059	0	0	0	0	0	99.0410636047	0.0
Thyroid hormone synthesis	0	0	0	0	0	0	0	0	0	0
Betalain biosynthesis	0	0	0	0	0	0	0	0	0	0
Penicillin and cephalosporin biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Terpenoid backbone biosynthesis	0	0	0	0	0	0	0	0	0	0
O-Antigen repeat unit biosynthesis	0	0	0	0	0	0	0	0	0	0
Meiosis - yeast	0	0	0	0	0	0	0	0	0	0
Ascorbate and aldarate metabolism	0	0	0	0	0	0	0	0	0	0
Benzoate degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RNA polymerase	0	0	0	0	0	0	0	0	0	0
Pathogenic Escherichia coli infection	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Oxidative phosphorylation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Monobactam biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Biofilm formation - Escherichia coli	9292.9285887834	0	61.8814305434	1806.8907147804998	51.06315811899999	0	0	43.524615740600005	1150.0876319108004	0.0
Linoleic acid metabolism	0	0	0	0	0	0	0	0	0	0
Histidine metabolism	25.07351686	21.8002553758	71.2528597255	36.980226222199995	43.3472933063	13.410276855	47.721248241800005	18.7836817104	36.162294926	0.0
Plant-pathogen interaction	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Porphyrin and chlorophyll metabolism	0	0	0	0	0	0	0	0	0	0.0
Caprolactam degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Steroid hormone biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
